iter	Passed	Remaining
0	1	169
1	3	157
2	4	158
3	5	141
4	7	145
5	8	139
6	10	138
7	11	135
8	13	133
9	14	132
10	15	129
11	17	126
12	18	124
13	20	123
14	21	120
15	22	118
16	24	117
17	25	115
18	26	114
19	28	112
20	29	111
21	30	109
22	32	107
23	33	105
24	34	104
25	36	103
26	37	101
27	38	100
28	40	98
29	41	97
30	43	97
31	44	95
32	46	93
33	47	92
34	48	90
35	50	88
36	51	87
37	52	85
38	53	84
39	55	82
40	56	81
41	57	79
42	58	78
43	60	76
44	61	75
45	63	74
46	64	72
47	65	71
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	74	63
54	75	61
55	76	60
56	77	58
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	45
67	93	43
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	26
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	130	5
96	132	4
97	133	2
98	134	1
99	136	0
